1.01 POSITION,1.02 DURATION,1.03 SCORE,1.04 ENDING SHOT MARKER ID,1.1 WHO WON THE POINT,1.11 WHO LOST THE POINT,1.2 RALLY OUTCOME,1.2.1 RALLY OUTCOME DETAILED,1.3 RALLY LENGTH,1.3.1 RALLY LENGTH DETAILED,1.4 GAME SCORE CONDITIONS,1.5 SET SCORE CONDITIONS,2.1 ENDING SHOT. SHOT TYPE,2.2 ENDING SHOT. SHOT CATEGORY,2.3 ENDING SHOT. SHOT DIRECTION,2.4 ENDING SHOT. HITTING POINT,2.5 ENDING SHOT. DEPTH,3.1 SERVER,3.2 SERVE ORDER,3.3 SERVE DIRECTION,4.1 RETURN. SHOT TYPE,4.1 RETURNER,4.2 RETURN. SHOT CATEGORY,4.3 RETURN. SHOT DIRECTION,4.4 RETURN. HITTING POINT,4.5 RETURN. DEPTH,5.1 SERVE + 1 SHOT. SHOT TYPE,5.2 SERVE + 1 SHOT. SHOT CATEGORY,5.3 SERVE + 1 SHOT. SHOT DIRECTION,5.4 SERVE + 1 SHOT. HITTING POINT,5.5 SERVE + 1 SHOT. DEPTH,6.1 CHEAP POINT,7.1 DISPUTABLE POINT
49,5,Set 1; 0:1; *0:0,5002,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,2nd serve,Deuce court (T),,Tarm Rojanasoonthon,,,,,,,,,,Not a Cheap point,
85,9,Set 1; 0:1; *0:15,5006,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside out,Ending shot. Neutral Aggressive,Ending shot. Middle,Sam English,2nd serve,Ad court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Half court zone,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Cheap Point on serve,
111,10,Set 1; 0:1; *15:15,5012,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Passing Shot,Down the line,Ending shot. Half court zone,Ending shot. Middle,Sam English,1st serve,Deuce court (T),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Down the line,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice/Other,Cross,Serve + 1 shot. Net Area,Serve + 1 shot. Middle,Not a Cheap point,
141,8,Set 1; 0:1; *30:15,5016,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Slice,Down the line,Ending shot. Neutral Aggressive,Ending shot. Short,Sam English,1st serve,Ad court (T),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Short,Serve + 1 shot. Backhand,Serve + 1 shot. Slice,Down the line,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
185,10,Set 1; 0:1; *30:30,5022,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,3-4 shots,4,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Inside center,Ending shot. Defensive,Ending shot. Short,Sam English,2nd serve,Deuce court (Wide),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Deep,Serve + 1 shot. Forehand,Serve + 1 shot. Lob,,Serve + 1 shot. Neutral Defensive,Serve + 1 shot. Deep,Not a Cheap point,
226,13,Set 1; 0:1; *40:30,5031,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,5-8 shots,7,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Sam English,2nd serve,Ad court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside center,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Short,Not a Cheap point,
269,6,Set 1; 0:1; *40:40,5035,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,1-2 shots,2,30:30 and 40:40,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Half court zone,Ending shot. Short,Sam English,2nd serve,Ad court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Half court zone,Return. Short,,,,,,Not a Cheap point,
302,6,Set 1; 1:1; 0:0*,5036,Tarm Rojanasoonthon,Sam English,Winner/Provoked Point,Provoked Point,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Tarm Rojanasoonthon,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Short,,,,,,Cheap Point on serve,
330,6,Set 1; 1:1; 0:15*,5040,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,1-2 shots,2,Non-stress point,Beginning: 1-4 game,Ending shot. Return,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Tarm Rojanasoonthon,2nd serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Deep,,,,,,Not a Cheap point,
351,16,Set 1; 1:1; 0:30*,5048,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Defensive,Serve + 1 shot. Short,Not a Cheap point,
384,7,Set 1; 1:1; 0:40*,5052,Tarm Rojanasoonthon,Sam English,Winner/Provoked Point,Winner,3-4 shots,3,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Topspin/Flat,Cross,Ending shot. Neutral Aggressive,Ending shot. Deep,Tarm Rojanasoonthon,1st serve,Ad court (Wide),Return. Backhand,Sam English,Return. Topspin/Flat,Down the line,Return. Neutral basic,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Deep,Cheap Point on serve,
511,32,Set 1; 1:2; *0:0,5074,Sam English,Tarm Rojanasoonthon,Unforced Error,Unforced Error,9+ shots,20,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Neutral Defensive,Ending shot. Short,Sam English,2nd serve,Deuce court (Wide),Return. Backhand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Defensive,Serve + 1 shot. Deep,Not a Cheap point,
569,23,Set 1; 1:2; *15:0,5088,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,9+ shots,14,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Sam English,1st serve,Ad court (Body),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Center,Return. Neutral aggressive,Return. Middle,Serve + 1 shot. Forehand,Serve + 1 shot. Topspin/Flat,Inside out,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
624,8,Set 1; 1:2; *30:0,5093,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Provoked Point,3-4 shots,4,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Approach Shot,Down the line,Ending shot. Half court zone,Ending shot. Deep,Sam English,1st serve,Deuce court (T),Return. Forehand,Tarm Rojanasoonthon,Return. Topspin/Flat,Cross,Return. Neutral aggressive,Return. Short,Serve + 1 shot. Forehand,Serve + 1 shot. Approach Shot,Down the line,Serve + 1 shot. Half court zone,Serve + 1 shot. Deep,Cheap Point on serve,
650,5,Set 1; 1:2; *40:0,5096,Sam English,Tarm Rojanasoonthon,Winner/Provoked Point,Winner,1-2 shots,1,Non-stress point,Beginning: 1-4 game,Ending shot. Serve,,,,,Sam English,1st serve,Ad court (T),,Tarm Rojanasoonthon,,,,,,,,,,Ace/Serve-winner,
687,17,Set 1; 2:2; 0:0*,5105,Tarm Rojanasoonthon,Sam English,Winner/Provoked Point,Winner,9+ shots,9,Non-stress point,Beginning: 1-4 game,Ending shot. Backhand,Ending shot. Volley,,Ending shot. Net Area,Ending shot. Short,Tarm Rojanasoonthon,1st serve,Deuce court (T),Return. Backhand,Sam English,Return. Topspin/Flat,Cross,Return. Neutral defensive,Return. Middle,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
732,14,Set 1; 2:2; 0:15*,5115,Tarm Rojanasoonthon,Sam English,Unforced Error,Unforced Error,5-8 shots,8,Non-stress point,Beginning: 1-4 game,Ending shot. Forehand,Ending shot. Topspin/Flat,Down the line,Ending shot. Defensive,Ending shot. Short,Tarm Rojanasoonthon,2nd serve,Ad court (Body),Return. Backhand,Sam English,Return. Topspin/Flat,Center,Return. Half court zone,Return. Deep,Serve + 1 shot. Backhand,Serve + 1 shot. Topspin/Flat,Cross,Serve + 1 shot. Neutral Aggressive,Serve + 1 shot. Middle,Not a Cheap point,
